case_number, has_facts_header
2024_SGHCA_20,False
2024_SGCAI_4,True
2024_SGHC_159,False
2024_SGHCF_24,True
2024_SGHC_158,False
2024_SGHC_157,True
2024_SGHC_156,False
2024_SGHC_155,True
2024_SGHC_153,True
2024_SGHC_152,True
2024_SGHC_154,False
2024_SGHCI_18,True
2024_SGHC_151,False
2024_SGHC_149,True
2024_SGHC_150,False
2024_SGHC_147,True
2024_SGCAI_3,False
2024_SGHCI_17,True
2024_SGHCI_16,False
2024_SGHC_146,False
2024_SGHC_145,True
2024_SGHC_144,True
2024_SGHC_141,True
2024_SGHC_143,False
2024_SGHC_139,False
2024_SGHC_142,False
2024_SGHC_140,True
2024_SGHCI_15,False
2024_SGHC_138,True
2024_SGHCA_18,True
2024_SGHC_133,True
2024_SGHC_135,True
2024_SGHC_136,True
2024_SGHC_137,True
2024_SGCA_19,True
2024_SGHC_132,True
2024_SGCA_20,True
2024_SGHC_134,False
2024_SGHC_122,False
2024_SGCA_16,True
2024_SGCA_17,True
2024_SGHCF_23,False
2024_SGHCI_14,False
2024_SGHC_131,True
2024_SGHCF_22,False
2024_SGCA_18,True
2024_SGCAI_2,True
2024_SGHC_130,True
2024_SGHC_128,True
2024_SGHCA_17,True
2024_SGHCF_21,True
2024_SGCA_15,True
2024_SGHC_129,True
2024_SGHC_127,True
2024_SGHC_126,True
2024_SGHC_125,True
2024_SGHCA_15,True
2024_SGHCA_14,False
2024_SGHC_124,False
2024_SGCA_14,True
2024_SGHC_119,True
2024_SGHC_123,False
2024_SGCA_13,True
2024_SGHC_120,True
2024_SGHC_121,True
2024_SGHC_118,True
2024_SGHC_117,False
2024_SGHC_115,False
2024_SGHC_114,False
2024_SGHCF_20,False
2024_SGHCI_11,False
2024_SGHC_116,True
2024_SGHC_108,True
2024_SGHCA_13,True
2024_SGHC_113,True
2024_SGHC_111,True
2024_SGCA_12,True
2024_SGHC_109,True
2024_SGHC_110,True
2024_SGHCI_12,False
2024_SGHCI_13,False
2024_SGHCA_12,True
2024_SGHC_107,True
2024_SGHC_106,False
2024_SGHCF_19,False
2024_SGHC_105,True
2024_SGHCI_10,True
2024_SGHC_104,True
2024_SGHCA_11,True
2024_SGHC_99,True
2024_SGHCI_9,True
2024_SGHC_102,True
2024_SGHC_103,True
2024_SGHCI_8,True
2024_SGHC_101,True
2024_SGHCA_10,True
2024_SGHC_100,True
2024_SGHCR_6,True
2024_SGHC_98,True
2024_SGHC_97,True
2024_SGHCR_5,True
2024_SGHC_96,True
2024_SGHC_93,False
2024_SGHC_95,True
2024_SGHC_94,True
2024_SGHC_92,True
2024_SGHC_90,True
2024_SGHC_91,True
2024_SGHC_87,True
2024_SGCA_11,False
2024_SGCA_10,True
2024_SGHCI_7,True
2024_SGHC_89,False
2024_SGHC_88,True
2024_SGHCF_18,False
2024_SGHC_86,True
2024_SGHCA_9,True
2024_SGHC_84,True
2024_SGHC_85,True
2024_SGCA_9,True
2024_SGHC_82,True
2024_SGHC_75,False
2024_SGHC_83,False
2024_SGHC_81,True
2024_SGHCF_17,False
2024_SGHC_77,True
2024_SGHC_80,True
2024_SGHC_79,True
2024_SGHC_78,True
2024_SGHC_76,False
2024_SGCA_8,True
2024_SGHC_71,True
2024_SGHC_74,True
2024_SGHC_70,True
2024_SGHC_73,True
2024_SGHC_68,True
2024_SGHC_67,False
